,station_id,name,address,town,zip_code,longitude,latitude,road_side,restriction,sender,schedule,region_id,province_id,municipality_id,region_name,province_name,municipality_name,date,gasoline_95E5,gasoline_95E5_premium,gasoline_95E10,gasoline_98E5,gasoline_98E10,diesel_A,diesel_B,diesel_premium,bioetanol,biodiesel,lpg,cng,lng,hydrogen
0,2596,PETRONOR,"CR PM-401, 0,4",FELANITX                 ,07200,3.158722,39.473667,I,P,dm,L-D: 00:00-23:59,4,7,818,Baleares,BALEARS (ILLES),Felanitx,2021-01-30,1.317,,,1.475,,1.198,,1.228,,,,,,
1,2727,CEPSA,"AVENIDA BIENVENIDOS, 36",CALA D'OR                ,07660,3.226833,39.379917,D,P,OM,L-D: 24H,4,7,853,Baleares,BALEARS (ILLES),Santanyí,2021-01-11,1.304,1.364,,1.449,,1.182,,1.243,,,,,,
2,2688,REPSOL,"CALLE ARAGON, 180",PALMA                    ,07008,2.671556,39.584278,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-27,1.288,,,1.424,,1.175,,1.255,,,,,,
3,2643,BP  SANTA EULALIA - IBIZA,"AVENIDA SAN JAUME, 30",SANTA EULALIA            ,07840,1.531861,38.983528,N,P,dm,L-D: 07:00-23:00,4,7,850,Baleares,BALEARS (ILLES),Santa Eulalia del Río,2021-01-29,1.35,,,1.491,,1.246,,1.335,,,,,,
4,2718,REPSOL,"CARRETERA PM-334 KM. 1,1",PETRA                    ,07520,3.109028,39.625889,D,P,dm,L-S: 06:30-21:00; D: 07:00-21:00,4,7,837,Baleares,BALEARS (ILLES),Petra,2021-01-05,1.288,,,1.409,,1.168,0.855,1.248,,,,,,
5,2743,REPSOL,"CALLE ARAGON, 217",PALMA                    ,07008,2.676472,39.589167,I,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-30,1.315,,,1.455,,1.195,,1.275,,,,,,
6,2621,CEPSA,"CALLE SAN CRISTOBAL, S/N",LLUCMAJOR                ,07620,2.75975,39.501,D,P,dm,L-S: 06:00-22:00,4,7,826,Baleares,BALEARS (ILLES),Llucmajor,2021-01-04,1.314,1.384,,,,1.175,,1.244,,,,,,
7,2631,BP BALMES,"CALLE JAUME BALMES, 44",PALMA                    ,07004,2.659194,39.580194,N,P,dm,L-D: 06:30-22:30,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-14,1.277,,,1.402,,1.166,,1.236,,,,,,
8,2637,CEPSA,"AVENIDA CARLOS V, S/N",LLUCMAJOR                ,07620,2.895222,39.485861,D,P,dm,L-D: 06:00-22:00,4,7,826,Baleares,BALEARS (ILLES),Llucmajor,2021-01-05,1.314,1.384,,1.448,,1.175,,1.244,,,,,,
9,2696,CEPSA,"CARRETERA PM-803 KM. 14,3",SANT JOSEP DE SA TALAIA  ,07830,1.305611,38.92175,D,P,dm,L-D: 06:00-23:59,4,7,846,Baleares,BALEARS (ILLES),Sant Josep de sa Talaia,2021-01-11,1.334,1.394,,,,1.225,,1.295,,,,,,
10,13474,SHELL,"CALLE HORT DE SES ÀNIMES, 23",PALMA                    ,07007,2.685778,39.567083,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-09,1.228,,,1.328,,1.128,,1.228,,,,,,
11,2718,REPSOL,"CARRETERA PM-334 KM. 1,1",PETRA                    ,07520,3.109028,39.625889,D,P,dm,L-S: 06:30-21:00; D: 07:00-21:00,4,7,837,Baleares,BALEARS (ILLES),Petra,2021-01-07,1.288,,,1.409,,1.168,0.855,1.248,,,,,,
12,2596,PETRONOR,"CR PM-401, 0,4",FELANITX                 ,07200,3.158722,39.473667,I,P,dm,L-D: 00:00-23:59,4,7,818,Baleares,BALEARS (ILLES),Felanitx,2021-01-16,1.318,,,1.448,,1.188,,1.218,,,,,,
13,13135,BUGA 2000,"CARRER M.MEDITERRÀNIA, 24",SANTA PONÇA              ,07180,2.504611,39.529111,I,P,dm,L-D: 06:00-23:00,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-31,1.198,,,,,,,1.098,,,,,,
14,13474,SHELL,"CALLE HORT DE SES ÀNIMES, 23",PALMA                    ,07007,2.685778,39.567083,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-07,1.228,,,1.328,,1.128,,1.228,,,,,,
15,9870,SHELL,"CARRETERA 3301 KM. 1,5",SINEU                    ,07510,3.02825,39.641944,D,P,dm,L-D: 24H,4,7,856,Baleares,BALEARS (ILLES),Sineu,2021-01-08,1.285,,,1.419,,1.169,0.819,1.245,,,,,,
16,13474,SHELL,"CALLE HORT DE SES ÀNIMES, 23",PALMA                    ,07007,2.685778,39.567083,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-29,1.248,,,1.358,,1.148,,1.248,,,,,,
17,2725,CEPSA,CARRETERA C-731 KM. 13,SANT ANTONI DE PORTMANY  ,07820,1.331,38.975056,I,P,dm,L-D: 24H,4,7,843,Baleares,BALEARS (ILLES),Sant Antoni de Portmany,2021-01-11,1.334,1.394,,,,1.225,,1.295,,,,,,
18,2637,CEPSA,"AVENIDA CARLOS V, S/N",LLUCMAJOR                ,07620,2.895222,39.485861,D,P,dm,L-D: 06:00-22:00,4,7,826,Baleares,BALEARS (ILLES),Llucmajor,2021-01-02,1.314,1.384,,1.448,,1.169,,1.244,,,,,,
19,2699,REPSOL,"C-712 km 22,3",CA'N PICAFORT            ,07458,3.15075,39.763139,I,P,dm,L-D: 06:00-22:00,4,7,851,Baleares,BALEARS (ILLES),Santa Margalida,2021-01-10,1.308,,,1.445,,1.199,,1.268,,,,,,
20,2568,REPSOL,"CARRETERA MA-3431 KM. 0,200",MURO                     ,07440,3.052639,39.7415,I,P,dm,L-S: 06:00-22:00; D: 08:00-14:00,4,7,835,Baleares,BALEARS (ILLES),Muro,2021-01-08,1.288,,,1.414,,1.179,,1.248,,,,,,
21,13267,CARBURANTS LOW COST,"CALLE B, 35",MERCADAL (ES)            ,07740,4.081806,39.987722,D,P,dm,L-D: 24H,4,7,832,Baleares,BALEARS (ILLES),Mercadal (Es),2021-01-20,1.28,,,,,1.199,,,,,,,,
22,13569,GALP,"AVENIDA JUAN CARLOS I, 68",CAPDEPERA                ,07580,3.446389,39.703889,D,P,dm,L-S: 06:00-22:00; D: 07:00-22:00,4,7,808,Baleares,BALEARS (ILLES),Capdepera,2021-01-02,1.268,,,,,1.148,,,,,,,,
23,2668,CEPSA,"CALLE CAUTIVOS DE CONSTANTINIPLA, S/N",CIUTADELLA DE MENORCA    ,07760,3.843556,40.001389,D,P,dm,L-D: 06:00-22:00,4,7,810,Baleares,BALEARS (ILLES),Ciutadella de Menorca,2021-01-16,1.295,,,,,1.195,,,,,,,,
24,2589,REPSOL,"AVINGUDA BENVINGUTS, 64",CALA D'OR                ,07660,3.227056,39.378722,D,P,dm,L-S: 07:30-19:45; D: 08:00-14:00,4,7,853,Baleares,BALEARS (ILLES),Santanyí,2021-01-17,1.295,,,,,1.185,,,,,,,,
25,2668,CEPSA,"CALLE CAUTIVOS DE CONSTANTINIPLA, S/N",CIUTADELLA DE MENORCA    ,07760,3.843556,40.001389,D,P,dm,L-D: 06:00-22:00,4,7,810,Baleares,BALEARS (ILLES),Ciutadella de Menorca,2021-01-04,1.285,,,,,1.175,,,,,,,,
26,13162,PETROEST,"CALLE GABRIEL ALZAMORA, 25",PALMA                    ,07008,2.674778,39.589306,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-03,1.127,,,,,1.054,,,,,,,,
27,2668,CEPSA,"CALLE CAUTIVOS DE CONSTANTINIPLA, S/N",CIUTADELLA DE MENORCA    ,07760,3.843556,40.001389,D,P,dm,L-D: 06:00-22:00,4,7,810,Baleares,BALEARS (ILLES),Ciutadella de Menorca,2021-01-25,1.295,,,,,1.195,,,,,,,,
28,2664,CEPSA,"PLAZA HOSTALS, 4",SANTA MARIA DEL CAMI     ,07320,2.773861,39.651694,D,P,dm,L-S: 06:30-20:30,4,7,852,Baleares,BALEARS (ILLES),Santa María del Camí,2021-01-19,1.304,,,,,1.189,,,,,,,,
29,13569,GALP,"AVENIDA JUAN CARLOS I, 68",CAPDEPERA                ,07580,3.446389,39.703889,D,P,dm,L-S: 06:00-22:00; D: 07:00-22:00,4,7,808,Baleares,BALEARS (ILLES),Capdepera,2021-01-17,1.308,,,,,1.178,,,,,,,,
30,2571,REPSOL,"CARRETERA LA SABINA- EL PILAR KM. 4,6",SANT FRANCESC FORMENTERA ,07860,1.445417,38.708444,I,P,dm,L-S: 07:00-21:00; D: 09:00-21:00,4,7,820,Baleares,BALEARS (ILLES),Formentera,2021-01-08,1.32,,,,,1.209,,,,,,,,
31,2701,REPSOL,"AVENIDA SANTA MARGARITA, 49",MURO                     ,07440,3.059583,39.729306,D,P,dm,L-S: 06:00-22:00,4,7,835,Baleares,BALEARS (ILLES),Muro,2021-01-15,1.308,,,1.445,,1.199,0.819,,,,,,,
32,2701,REPSOL,"AVENIDA SANTA MARGARITA, 49",MURO                     ,07440,3.059583,39.729306,D,P,dm,L-S: 06:00-22:00,4,7,835,Baleares,BALEARS (ILLES),Muro,2021-01-21,1.328,,,1.455,,1.209,0.829,,,,,,,
33,2571,REPSOL,"CARRETERA LA SABINA- EL PILAR KM. 4,6",SANT FRANCESC FORMENTERA ,07860,1.445417,38.708444,I,P,dm,L-S: 07:00-21:00; D: 09:00-21:00,4,7,820,Baleares,BALEARS (ILLES),Formentera,2021-01-05,1.32,,,,,1.209,,,,,,,,
34,2727,CEPSA,"AVENIDA BIENVENIDOS, 36",CALA D'OR                ,07660,3.226833,39.379917,D,P,OM,L-D: 24H,4,7,853,Baleares,BALEARS (ILLES),Santanyí,2021-01-03,1.293,1.353,,1.439,,1.159,,1.229,,,,,,
35,2632,CEPSA,"CAMINO DE LAS MARAVILLA, S/N",PLATJA DE PALMA          ,07608,2.749361,39.521167,D,P,dm,L-D: 07:00-21:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-28,1.344,1.414,,,,1.199,,1.269,,,,,,
36,2632,CEPSA,"CAMINO DE LAS MARAVILLA, S/N",PLATJA DE PALMA          ,07608,2.749361,39.521167,D,P,dm,L-D: 07:00-21:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-31,1.344,1.414,,,,1.199,,1.269,,,,,,
37,2675,CEPSA,"CARRETERA LLUCMAJOR, KM10 KM. 10",SON SANT JOAN            ,07199,2.750694,39.534972,D,P,dm,L-S: 06:00-22:00; D: 08:00-14:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-30,1.344,,,,,1.199,0.829,1.269,,,,,,
38,2568,REPSOL,"CARRETERA MA-3431 KM. 0,200",MURO                     ,07440,3.052639,39.7415,I,P,dm,L-S: 06:00-22:00; D: 08:00-14:00,4,7,835,Baleares,BALEARS (ILLES),Muro,2021-01-27,1.328,,,1.455,,1.209,,1.289,,,,,,
39,2568,REPSOL,"CARRETERA MA-3431 KM. 0,200",MURO                     ,07440,3.052639,39.7415,I,P,dm,L-S: 06:00-22:00; D: 08:00-14:00,4,7,835,Baleares,BALEARS (ILLES),Muro,2021-01-29,1.328,,,1.455,,1.209,,1.289,,,,,,
40,2626,REPSOL,"CARRETERA IBIZA - SAN JUAN KM. 1,7",EIVISSA                  ,07800,1.440778,38.922694,D,P,dm,L-D: 07:00-23:00,4,7,814,Baleares,BALEARS (ILLES),Eivissa,2021-01-26,1.355,,,1.505,,1.239,,1.329,,,,,,
41,2585,PETRONOR,"CALLE GREMI DE SUCRERS I CANDELERS, 24",PALMA                    ,07009,2.663944,39.610917,D,P,dm,L-V: 06:30-17:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-06,1.275,,,1.425,,1.159,,1.219,,,,,,
42,2599,CEPSA,"CARRETERA C-715 KM. 42,5",VILAFRANCA DE BONANY     ,07250,3.134056,39.575611,D,P,dm,L-D: 07:00-23:00,4,7,860,Baleares,BALEARS (ILLES),Vilafranca de Bonany,2021-01-27,1.314,1.374,,,,1.189,0.859,1.259,,,,,,
43,9870,SHELL,"CARRETERA 3301 KM. 1,5",SINEU                    ,07510,3.02825,39.641944,D,P,dm,L-D: 24H,4,7,856,Baleares,BALEARS (ILLES),Sineu,2021-01-13,1.295,,,1.425,,1.179,0.819,1.259,,,,,,
44,2654,REPSOL,"CALLE LLUCMAJOR, 148",PALMA                    ,07007,2.682333,39.557861,D,P,dm,L-V: 06:00-22:00; S-D: 07:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-27,1.325,,,1.475,,1.199,,1.279,,,,,,
45,12582,REPSOL BUTANO,"CAMI LA MILANA, 49",SON SANT JOAN            ,07198,2.720917,39.565639,I,P,dm,L-D: 07:00-21:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-13,,,,,,,,,,,0.639,,,
46,12579,REPSOL BUTANO,"CAMINO PUIG DE SANTA MAGDALENA, S/N",INCA                     ,07300,2.939861,39.731333,D,P,dm,L-V: 08:00-18:30; S: 08:30-13:00,4,7,822,Baleares,BALEARS (ILLES),Inca,2021-01-08,,,,,,,,,,,0.629,,,
47,14144,REPSOL,"CARRETERA MA-4040 KM. 2,5",SON SERVERA              ,07550,3.373417,39.643333,I,P,dm,L-V: 08:00-17:00,4,7,858,Baleares,BALEARS (ILLES),Son Servera,2021-01-03,,,,,,,,,,,0.615,,,
48,12577,REPSOL BUTANO,"CARRETERA PMV-1031 KM. 1,5",CALVIA                   ,07184,2.490722,39.5685,I,P,dm,L-V: 09:00-16:00; S: 08:30-13:30,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-11,,,,,,,,,,,0.629,,,
49,12582,REPSOL BUTANO,"CAMI LA MILANA, 49",SON SANT JOAN            ,07198,2.720917,39.565639,I,P,dm,L-D: 07:00-21:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-31,,,,,,,,,,,0.639,,,
50,12577,REPSOL BUTANO,"CARRETERA PMV-1031 KM. 1,5",CALVIA                   ,07184,2.490722,39.5685,I,P,dm,L-V: 09:00-16:00; S: 08:30-13:30,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-05,,,,,,,,,,,0.619,,,
51,13028,EROSKI,"AVENIDA TALAIOT, 1",SANT LLUIS               ,07710,4.259028,39.8585,D,P,dm,L-D: 24H,4,7,848,Baleares,BALEARS (ILLES),Sant Lluís,2021-01-20,,,,,,1.199,,,,,,,,
52,14144,REPSOL,"CARRETERA MA-4040 KM. 2,5",SON SERVERA              ,07550,3.373417,39.643333,I,P,dm,L-V: 08:00-17:00,4,7,858,Baleares,BALEARS (ILLES),Son Servera,2021-01-25,,,,,,,,,,,0.629,,,
53,12582,REPSOL BUTANO,"CAMI LA MILANA, 49",SON SANT JOAN            ,07198,2.720917,39.565639,I,P,dm,L-D: 07:00-21:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-06,,,,,,,,,,,0.626,,,
54,12574,REPSOL BUTANO,"CARRETERA MA-15 KM. 44,5",MANACOR                  ,07500,3.159556,39.573556,D,P,dm,L-V: 07:00-19:00; S: 07:00-18:00,4,7,827,Baleares,BALEARS (ILLES),Manacor,2021-01-06,,,,,,,,,,,0.639,,,
55,14144,REPSOL,"CARRETERA MA-4040 KM. 2,5",SON SERVERA              ,07550,3.373417,39.643333,I,P,dm,L-V: 08:00-17:00,4,7,858,Baleares,BALEARS (ILLES),Son Servera,2021-01-18,,,,,,,,,,,0.639,,,
56,12579,REPSOL BUTANO,"CAMINO PUIG DE SANTA MAGDALENA, S/N",INCA                     ,07300,2.939861,39.731333,D,P,dm,L-V: 08:00-18:30; S: 08:30-13:00,4,7,822,Baleares,BALEARS (ILLES),Inca,2021-01-05,,,,,,,,,,,0.619,,,
57,2694,SHELL,"AVENIDA IGNACIO WALLIS, 58",EIVISSA                  ,07800,1.429222,38.914444,N,P,dm,L-D: 07:00-22:45,4,7,814,Baleares,BALEARS (ILLES),Eivissa,2021-01-18,1.349,,,1.499,,1.249,,,,,,,,
58,2588,CEPSA ,"CARRER ALCALDE BARTOLOME ROSELLO SALA, 2",EIVISSA                  ,07800,1.437167,38.918833,D,P,dm,L-D: 24H,4,7,814,Baleares,BALEARS (ILLES),Eivissa,2021-01-15,1.349,,,1.509,,1.249,,1.349,,,,,,
59,2707,REPSOL,CARRETERA C-717 KM. 38,SANTANYI                 ,07650,3.024111,39.426417,I,P,dm,L-D: 06:00-22:30,4,7,853,Baleares,BALEARS (ILLES),Santanyí,2021-01-24,1.349,1.389,,1.499,,1.219,0.906,1.309,,,,,,
60,2574,REPSOL,"CARRETERA PM-602 KM. 8,2",LLUCMAJOR                ,07620,2.789389,39.493778,I,P,dm,L-D: 06:00-22:00,4,7,826,Baleares,BALEARS (ILLES),Llucmajor,2021-01-22,1.349,1.389,,1.509,,1.219,,1.309,,,0.649,,,
61,2680,CEPSA,"CARRER CONVENT, 29",SANTANYI                 ,07650,3.166778,39.383944,I,P,dm,L-S: 07:00-21:00,4,7,853,Baleares,BALEARS (ILLES),Santanyí,2021-01-19,1.349,1.425,,,,1.225,0.879,1.309,,,,,,
62,2586,REPSOL,CARRETERA PM-602 KM. 5,ARENAL (S')              ,07600,2.831722,39.483944,D,P,dm,L-D: 06:00-22:00,4,7,826,Baleares,BALEARS (ILLES),Llucmajor,2021-01-24,1.349,,,1.499,,1.219,,1.299,,,,,,
63,11781,BP,"CALLE DES LLAURADORS, 19",SANT RAFEL               ,07816,1.41275,38.94275,D,P,dm,L-D: 07:00-23:00,4,7,843,Baleares,BALEARS (ILLES),Sant Antoni de Portmany,2021-01-25,1.349,,,1.489,,1.249,,1.319,,,,,,
64,13538,EROSKI,"CARRETERA MA-13 A, ESQUINA CAMI AGUA KM. S/N",BINISSALEM               ,07350,2.851556,39.686806,N,P,dm,L-D: 24H,4,7,802,Baleares,BALEARS (ILLES),Binissalem,2021-01-29,1.249,,,,,1.129,,,,,,,,
65,2623,CEPSA,"AVENIDA DOCTOR FLEMING, S/N",SANT ANTONI DE PORTMANY  ,07820,1.309222,38.972528,D,P,dm,L-D: 07:00-23:00,4,7,843,Baleares,BALEARS (ILLES),Sant Antoni de Portmany,2021-01-22,1.369,,,1.519,,1.259,,1.339,,,,,,
66,13184,PETROEST,"CALLE GREMI CIRUGIANS I BARBERS, 11",PALMA                    ,07009,2.65825,39.600639,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-10,1.149,,,,,1.069,,,,,,,,
67,2618,CEPSA,"CALLE CAMINO DE LOS REYES, 201",PALMA                    ,07010,2.633472,39.593,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-11,1.269,,,1.414,,1.175,,1.245,,,,,,
68,14411,GALP,"GRAN VÍA ASIMA, 23",PALMA                    ,07009,2.667889,39.607194,D,P,dm,L-D: 06:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-24,1.269,,,,,1.159,,,,,,,,
69,2720,REPSOL,CARRETERA PALMA-PUERTO ANDRATX KM. 19,COSTA DE LA CALMA        ,07183,2.486722,39.526472,D,P,dm,L-S: 06:00-22:00,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-09,1.269,,,1.419,,1.159,,1.249,,,,,,
70,2583,CEPSA,"CARRETERA PALMA NOVA - CALVIA KM. 5,5",CALVIA                   ,07184,2.507667,39.559833,I,P,dm,L-D: 06:00-22:00,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-15,1.269,,,1.444,,1.169,,1.269,,,,,,
71,13088,AUTONETOIL,"CALLE FERRERS, 12",CIUTADELLA DE MENORCA    ,07760,3.853361,40.007139,D,P,dm,L-D: 24H,4,7,810,Baleares,BALEARS (ILLES),Ciutadella de Menorca,2021-01-25,1.269,,,,,1.169,,1.199,,,,,,
72,2695,BP AMANECER,"CALLE ALFONS EL MAGNANIM, 90",PALMA                    ,07004,2.654472,39.594167,N,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-26,1.289,,,1.425,,1.185,,1.254,,,,,,
73,2672,CEPSA,"CALLE TRAJINERS, SN",POBLA (SA)               ,07420,3.016944,39.771472,I,P,dm,L-S: 06:00-21:00,4,7,838,Baleares,BALEARS (ILLES),Pobla (Sa),2021-01-04,1.289,1.349,,,,1.179,0.774,1.245,,,,,,
74,2695,BP AMANECER,"CALLE ALFONS EL MAGNANIM, 90",PALMA                    ,07004,2.654472,39.594167,N,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-19,1.289,,,1.425,,1.185,,1.254,,,,,,
75,2742,CEPSA,"CARRETERA C-711 KM. 16,5",BUNYOLA                  ,07110,2.68975,39.712917,I,P,dm,L-D: 07:00-21:00,4,7,804,Baleares,BALEARS (ILLES),Bunyola,2021-01-09,1.289,1.349,,,,1.175,,1.245,,,,,,
76,13588,GALP,"CALLE FUSTER, 35",POLLENÇA                 ,07460,3.030611,39.885639,D,P,dm,L-D: 06:00-22:00,4,7,839,Baleares,BALEARS (ILLES),Pollença,2021-01-24,1.289,,,,,1.189,,,,,,,,
77,2598,CEPSA,"AVENIDA JOSE ANSELMO CLAVE, S/N",MAO                      ,07703,4.259389,39.881972,D,P,dm,L-D: 24H,4,7,829,Baleares,BALEARS (ILLES),Mahón,2021-01-17,1.289,,,,,1.189,,,,,,,,
78,2669,CEPSA,"CALLE BALMES, 55",ALAIOR                   ,07730,4.136528,39.931667,D,P,dm,L: 07:00-22:00,4,7,794,Baleares,BALEARS (ILLES),Alaior,2021-01-03,1.289,,,,,1.189,,,,,,,,
79,2712,REPSOL,"CR C-713, 13,1",SANTA MARIA DEL CAMI     ,07320,2.757056,39.64825,I,P,dm,L-D: 06:00-22:00,4,7,852,Baleares,BALEARS (ILLES),Santa María del Camí,2021-01-04,1.289,,,1.419,,1.169,,,,,,,,
80,2409,REPSOL,"CALLE RECH ESQ CREU, S/N",BINISSALEM               ,07350,2.839972,39.686861,D,P,dm,L-D: 06:00-22:00,4,7,802,Baleares,BALEARS (ILLES),Binissalem,2021-01-05,1.289,,,,,1.169,,,,,,,,
81,2599,CEPSA,"CARRETERA C-715 KM. 42,5",VILAFRANCA DE BONANY     ,07250,3.134056,39.575611,D,P,dm,L-D: 07:00-23:00,4,7,860,Baleares,BALEARS (ILLES),Vilafranca de Bonany,2021-01-02,1.289,1.349,,,,1.159,0.839,1.229,,,,,,
82,2742,CEPSA,"CARRETERA C-711 KM. 16,5",BUNYOLA                  ,07110,2.68975,39.712917,I,P,dm,L-D: 07:00-21:00,4,7,804,Baleares,BALEARS (ILLES),Bunyola,2021-01-02,1.289,1.349,,,,1.159,,1.229,,,,,,
83,2702,REPSOL,"CALLE MANACOR, 336",SON SANT JOAN            ,07198,2.721056,39.571194,D,P,dm,L: 06:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-03,1.289,,,1.419,,1.159,0.839,1.229,,,,,,
84,2684,CEPSA,"CARRETERA C-715 KM. 42,5",PETRA                    ,07520,3.133833,39.576111,I,P,dm,L-V: 06:00-21:00; S: 07:00-20:00; D: 10:00-20:00,4,7,837,Baleares,BALEARS (ILLES),Petra,2021-01-02,1.289,1.349,,,,1.159,,1.229,,,,,,
85,2606,BP,"CALLE TRAMUNTANA, S/N",CAN PASTILLA             ,07610,2.719972,39.536722,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-03,1.289,,,1.419,,1.169,,1.249,,,,,,
86,12188,CEPSA,"RONDA DE PEGUERA, SN",CALVIA                   ,07184,2.451583,39.544306,D,P,OM,L-D: 06:00-22:00,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-11,1.289,,,1.434,,1.179,,1.249,,,,,,
87,2604,CEPSA,"CARRETERA C-711 KM. 16,5",BUNYOLA                  ,07110,2.69025,39.712667,D,P,dm,L-D: 07:00-21:30,4,7,804,Baleares,BALEARS (ILLES),Bunyola,2021-01-12,1.289,1.349,,,,1.179,,1.249,,,,,,
88,2721,REPSOL,"CARRETERA PALMA-ANDRATX KM, 18 KM. 18",COSTA DE LA CALMA        ,07183,2.486528,39.526472,I,P,dm,L-D: 24H,4,7,805,Baleares,BALEARS (ILLES),Calvià,2021-01-06,1.289,,,1.439,,1.179,,1.269,,,0.679,,,
89,2666,BP,CARRETERA CTRA DE MAO A CIUTADELLA ME-1 KM. 23,MERCADAL (ES)            ,07740,4.071667,39.984639,N,P,dm,L-S: 07:00-21:00; D: 08:00-21:00,4,7,832,Baleares,BALEARS (ILLES),Mercadal (Es),2021-01-07,1.289,,,,,1.199,0.859,1.299,,,,,,
90,2693,REPSOL,"CL CAMINO CA,N PASTILLA, 37 (CAMNIO CAN PASTILLA 37)",PALMA                    ,07007,2.703083,39.54775,I,P,dm,L-D: 06:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-06,1.289,,,1.439,,1.159,,1.219,,,,,,
91,2687,REPSOL,"CR C-715, 48",MANACOR                  ,07500,3.200528,39.574167,I,P,dm,L-V: 06:00-22:00; S-D: 07:00-22:00,4,7,827,Baleares,BALEARS (ILLES),Manacor,2021-01-03,1.289,,,1.429,,1.159,,1.239,,,,,,
92,2610,REPSOL,"CALLE CAPITAN SALOM, 31",PALMA                    ,07004,2.652889,39.586417,D,P,dm,L-D: 24H,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-03,1.289,,,1.429,,1.169,,1.239,,,,,,
93,2693,REPSOL,"CL CAMINO CA,N PASTILLA, 37 (CAMNIO CAN PASTILLA 37)",PALMA                    ,07007,2.703083,39.54775,I,P,dm,L-D: 06:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-03,1.289,,,1.429,,1.159,,1.239,,,,,,
94,2619,REPSOL,"CALLE EUSEBIO ESTADA, 64",PALMA                    ,07004,2.660667,39.582056,D,P,dm,L-S: 06:00-22:00; D: 06:00-14:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-02,1.289,,,1.419,,1.159,,1.239,,,,,,
95,2713,REPSOL,"AVENIDA JUAN CARLOS I, S/N",CAPDEPERA                ,07580,3.451667,39.705278,D,P,dm,L-D: 06:00-22:00,4,7,808,Baleares,BALEARS (ILLES),Capdepera,2021-01-02,1.289,,,1.429,,1.159,,1.239,,,,,,
96,2693,REPSOL,"CL CAMINO CA,N PASTILLA, 37 (CAMNIO CAN PASTILLA 37)",PALMA                    ,07007,2.703083,39.54775,I,P,dm,L-D: 06:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-02,1.289,,,1.429,,1.159,,1.239,,,,,,
97,2584,REPSOL,"CALLE GREMI SUCRERS Y CANDELERS, 5",PALMA                    ,07009,2.656056,39.606667,D,P,dm,L-S: 06:00-22:00; D: 06:00-14:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-03,1.289,,,1.419,,1.159,,1.239,,,0.655,,,
98,2587,CEPSA,"CALLE BINIAMAR, 16",PALMA                    ,07008,2.678806,39.581722,D,P,dm,L-D: 06:00-22:00,4,7,836,Baleares,BALEARS (ILLES),Palma de Mallorca,2021-01-24,1.289,1.349,,1.434,,1.189,,1.259,,,,,,
